Key,Source,Context,Changes,English
gunsinglebarrelshotgunSchematic,items,Book,New,Reading this will teach you how to craft a single barrel shotgun.
gunrsx1Schematic,items,Book,New,RSX-1 Schematic
gunrsx1Schematic,items,Book,New,Reading this will teach you how to craft an RSX-1.
gunm1pcarbineSchematic,items,Book,New,M1-P Carbine Schematic
gunm1pcarbineSchematic,items,Book,New,Reading this will teach you how to craft an M1-P Carbine.
gunsksSchematic,items,Book,New,SKS Schematic
gunsksSchematic,items,Book,New,Reading this will teach you how to craft an SKS.
gunak101Schematic,items,Book,New,AK-101 Schematic
gunak101Schematic,items,Book,New,Reading this will teach you how to craft an AK-101.
gunar15Schematic,items,Book,New,AR-15 Schematic
gunar15Schematic,items,Book,New,Reading this will teach you how to craft an AR-15.
gunhk416Schematic,items,Book,New,HK416 Schematic
gunhk416Schematic,items,Book,New,Reading this will teach you how to craft an HK416.
gung36cSchematic,items,Book,New,G36C Schematic
gung36cSchematic,items,Book,New,Reading this will teach you how to craft an G36C.
gun556rifleSchematic,items,Book,New,Sporting Rifle Schematic
gun556rifleSchematic,items,Book,New,Reading this will teach you how to craft a Sporting Rifle.
gun9mmrifleSchematic,items,Book,New,Varmint Rifle Schematic
gun9mmrifleSchematic,items,Book,New,Reading this will teach you how to craft a Varmint Rifle.
gunsvdSchematic,items,Book,New,SVD Schematic
gunsvdSchematic,items,Book,New,Reading this will teach you how to craft an SVD.
gunscarhSchematic,items,Book,New,SCAR-H Schematic
gunscarhSchematic,items,Book,New,Reading this will teach you how to craft a SCAR-H.
gunaks74uSchematic,items,Book,New,AKS-74u Schematic
gunaks74uSchematic,items,Book,New,Reading this will teach you how to craft an AKS-74u.
gunskorpionSchematic,items,Book,New,Skorpion Schematic
gunskorpionSchematic,items,Book,New,Reading this will teach you how to craft a Skorpion.
gunmicrouziSchematic,items,Book,New,Micro Uzi Schematic
gunmicrouziSchematic,items,Book,New,Reading this will teach you how to craft a Micro Uzi.
gunmac11Schematic,items,Book,New,Mac-11 Schematic
gunmac11Schematic,items,Book,New,Reading this will teach you how to craft a Mac-11.
gunump45Schematic,items,Book,New,UMP-45 Schematic
gunump45Schematic,items,Book,New,Reading this will teach you how to craft a UMP-45.
gunpp19Schematic,items,Book,New,PP-19 Schematic
gunpp19Schematic,items,Book,New,Reading this will teach you how to craft a PP-19.
gunscarlSchematic,items,Book,New,PP-19 Schematic
gunscarlSchematic,items,Book,New,Reading this will teach you how to craft a SCAR-L.
gunsg553Schematic,items,Book,New,PP-19 Schematic
gunsg553Schematic,items,Book,New,Reading this will teach you how to craft a SG-553.
ammo45BulletBallDesc,items,Ammo,New,.45 Ammo
ammo45BulletAPDesc,items,Ammo,New,AP .45 Ammo
ammo45BulletHPDesc,items,Ammo,New,HP .45 Ammo
ammoBundle45BulletBallDesc,items,Ammo,New,Box of .45 Ammo (75)
ammoBundle45BulletAPDesc,items,Ammo,New,Box of .45 AP Ammo (75)
ammoBundle45BulletHPDesc,items,Ammo,New,Box of .45 HP Ammo (75)
ammo556mmBulletBallDesc,items,Ammo,New,5.56mm Ammo
ammo556mmBulletAPDesc,items,Ammo,New,5.56mm AP Ammo
ammo556mmBulletHPDesc,items,Ammo,New,5.56mm HP Ammo
ammoBundle556mmBulletBallDesc,items,Ammo,New,Box of 5.56mm Ammo (120)
ammoBundle556mmBulletAPDesc,items,Ammo,New,Box of 5.56mm AP Ammo (120)
ammoBundle556mmBulletHPDesc,items,Ammo,New,Box of 5.56mm HP Ammo (120)
