Key,Source,Context,English
perkgunSMG5SchematicRank1Desc,progression,Perk,Unlocks the SMG-5.

perkgunAK47Desc,progression,Perk,Unlocks the AK-47.
perkgunAK47SchematicRank1Desc,progression,Perk,Unlocks the AK-47.

perkgunHuntingRifleDesc,progression,Perk,Unlocks the Hunting Rifle.
perkgunHuntingRifleSchematicRank1Desc,progression,Perk,Unlocks the Hunting Rifle.

perkgunRocketLauncherDesc,progression,Perk,Unlocks the Rocket Launcher.
perkgunRocketLauncherSchematicRank1Desc,progression,Perk,Unlocks the Rocket Launcher.

perkgunJunkTurretDesc,progression,Perk,Unlocks the Junk Turret.
perkgunJunkTurretSchematicRank1Desc,progression,Perk,Unlocks the Junk Turret.

armorLeatherSet,items,Armor,Leather Armor Set
perkarmorLeatherSetDesc,progression,Perk,Unlocks the Leather Armor Set.
perkarmorLeatherSetSchematicRank1Desc,progression,Perk,Unlocks the Leather Armor Set.

armorMilitarySet,items,Armor,Military Armor Set
perkarmorMilitarySetDesc,progression,Perk,Unlocks the Military Armor Set.
perkarmorMilitarySetSchematicRank1Desc,progression,Perk,Unlocks the Military Armor Set.

perkresourceMilitaryFiberDesc,progression,Perk,Unlocks Military Fiber.
perkresourceMilitaryFiberSchematicRank1Desc,progression,Perk,Unlocks Military Fiber.

armorIronSet,items,Armor,Iron Armor Set
perkarmorIronSetDesc,progression,Perk,Unlocks the Iron Armor Set.
perkarmorIronSetSchematicRank1Desc,progression,Perk,Unlocks the Iron Armor Set.

armorSteelSet,items,Armor,Steel Armor Set
perkarmorSteelSetDesc,progression,Perk,Unlocks the Steel Armor Set.
perkarmorSteelSetSchematicRank1Desc,progression,Perk,Unlocks the Steel Armor Set.

perkthrownAmmoPipeBombDesc,progression,Perk,Unlocks Pipe Bombs.
perkthrownAmmoPipeBombSchematicRank1Desc,progression,Perk,Unlocks Pipe Bombs.

perkthrownGrenadeContactDesc,progression,Perk,Unlocks the Contact Grenade.
perkthrownGrenadeContactSchematicRank1Desc,progression,Perk,Unlocks the Contact Grenade.

perkthrownGrenadeDesc,progression,Perk,Unlocks the Grenade.
perkthrownGrenadeSchematicRank1Desc,progression,Perk,Unlocks the Grenade.

perkthrownDynamiteDesc,progression,Perk,Unlocks Dynamite.
perkthrownDynamiteSchematicRank1Desc,progression,Perk,Unlocks Dynamite.

perkthrownTimedChargeDesc,progression,Perk,Unlocks the Timed Charge.
perkthrownTimedChargeSchematicRank1Desc,progression,Perk,Unlocks the Timed Charge.

perkammoArrowFlamingDesc,progression,Perk,Unlocks Flaming Arrows.
perkammoArrowFlamingSchematicRank1Desc,progression,Perk,Unlocks Flaming Arrows.

perkammoCrossbowBoltExplodingDesc,progression,Perk,Unlocks Exploding Bolts.
perkammoCrossbowBoltExplodingSchematicRank1Desc,progression,Perk,Unlocks Exploding Bolts.

perkmedicalFirstAidBandageDesc,progression,Perk,Unlocks the First Aid Bandage.
perkmedicalFirstAidBandageSchematicRank1Desc,progression,Perk,Unlocks the First Aid Bandage.

perkmedicalFirstAidKitDesc,progression,Perk,Unlocks the First Aid Kit.
perkmedicalFirstAidKitSchematicRank1Desc,progression,Perk,Unlocks the First Aid Kit.

perkmedicalPlasterCastDesc,progression,Perk,Unlocks the Plaster Cast.
perkmedicalPlasterCastSchematicRank1Desc,progression,Perk,Unlocks the Plaster Cast.

perkdrugAntibioticsDesc,progression,Perk,Unlocks Antibiotics.
perkdrugAntibioticsSchematicRank1Desc,progression,Perk,Unlocks Antibiotics.

perkdrugHerbalAntibioticsDesc,progression,Perk,Unlocks Herbal Antibiotics.
perkdrugHerbalAntibioticsSchematicRank1Desc,progression,Perk,Unlocks Herbal Antibiotics.

perktoolBellowsDesc,progression,Perk,Unlocks the Advanced Bellow.
perktoolBellowsSchematicRank1Desc,progression,Perk,Unlocks the Advanced Bellow.

perktoolForgeCrucibleDesc,progression,Perk,Unlocks the Crucible.
perktoolForgeCrucibleSchematicRank1Desc,progression,Perk,Unlocks the Crucible.

perktoolAnvilDesc,progression,Perk,Unlocks the Anvil.
perktoolAnvilSchematicRank1Desc,progression,Perk,Unlocks the Anvil.

perkcementMixerDesc,progression,Perk,Unlocks the Cement Mixer.
perkcementMixerSchematicRank1Desc,progression,Perk,Unlocks the Cement Mixer.

perkworkbenchDesc,progression,Perk,Unlocks the Workbench.
perkworkbenchSchematicRank1Desc,progression,Perk,Unlocks the Workbench.

perkforgeDesc,progression,Perk,Unlocks the Forge.
perkforgeSchematicRank1Desc,progression,Perk,Unlocks the Forge.

perkchemistryStationDesc,progression,Perk,Unlocks the Chemistry Station.
perkchemistryStationSchematicRank1Desc,progression,Perk,Unlocks the Chemistry Station.

perkvehicleBicycleChassisDesc,progression,Perk,Unlocks the Bicycle Chassis.
perkvehicleBicycleChassisSchematicRank1Desc,progression,Perk,Unlocks the Bicycle Chassis.

perkvehicleBicycleHandlebarsDesc,progression,Perk,Unlocks the Bicycle Handlebars.
perkvehicleBicycleHandlebarsSchematicRank1Desc,progression,Perk,Unlocks the  Bicycle Handlebars.

perkvehicleMinibikeChassisDesc,progression,Perk,Unlocks the MiniBike Chassis.
perkvehicleMinibikeChassisSchematicRank1Desc,progression,Perk,Unlocks MiniBike Chassis.

perkvehicleMinibikeHandlebarsDesc,progression,Perk,Unlocks the Minibike Handlebars.
perkvehicleMinibikeHandlebarsSchematicRank1Desc,progression,Perk,Unlocks the Minibike Handlebars.

perkvehicleMotorcycleChassisDesc,progression,Perk,Unlocks the Motorcycle Chassis.
perkvehicleMotorcycleChassisSchematicRank1Desc,progression,Perk,Unlocks the Motorcycle Chassis.

perkvehicleMotorcycleHandlebarsDesc,progression,Perk,Unlocks the Motorcycle Handlebars.
perkvehicleMotorcycleHandlebarsSchematicRank1Desc,progression,Perk,Unlocks the Motorcycle Handlebars.

perkvehicle4x4TruckChassisDesc,progression,Perk,Unlocks the 4x4 Truck Chassis.
perkvehicle4x4TruckChassisSchematicRank1Desc,progression,Perk,Unlocks 4x4 Truck Chassis.

perkvehicle4x4TruckAccessoriesDesc,progression,Perk,Unlocks the 4x4 Truck Accessories.
perkvehicle4x4TruckAccessoriesSchematicRank1Desc,progression,Perk,Unlocks the 4x4 Truck Accessories.

perkvehicleGyroCopterChassisDesc,progression,Perk,Unlocks the Gyrocopter Chassis.
perkvehicleGyroCopterChassisSchematicRank1Desc,progression,Perk,Unlocks the Gyrocopter Chassis.

perkvehicleGyroCopterAccessoriesDesc,progression,Perk,Unlocks the Gyrocopter Accessories.
perkvehicleGyroCopterAccessoriesSchematicRank1Desc,progression,Perk,Unlocks the Gyrocopter Accessories.


perkgeneratorbankDesc,progression,Perk,Unlocks the Generator Bank,
perkgeneratorbankSchematicRank1Desc,progression,Perk,Unlocks the Generator Bank.

perkpressureplateDesc,progression,Perk,Unlocks the Pressure Plate.
perkpressureplateSchematicRank1Desc,progression,Perk,Unlocks the Pressure Plate.

blockPoweredDoors,blocks,Electricity,Powered Doors
perkpoweredDoorsDesc,progression,Perk,Unlocks Powered Doors.
perkpoweredDoorsSchematicRank1Desc,progression,Perk,Unlocks Powered Doors.

perkbladeTrapDesc,progression,Perk,Unlocks the Blade Trap.
perkbladeTrapSchematicRank1Desc,progression,Perk,Unlocks the Blade Trap.

perkdartTrapDesc,progression,Perk,Unlocks the Dart Trap.
perkdartTrapSchematicRank1Desc,progression,Perk,Unlocks the Dart Trap.

perkshotgunTurretDesc,progression,Perk,Unlocks the Shotgun Tuuret.
perkshotgunTurretSchematicRank1Desc,progression,Perk,Unlocks the Shotgun Turret.

perkautoTurretDesc,progression,Perk,Unlocks the SMG Turret.
perkautoTurretSchematicRank1Desc,progression,Perk,Unlocks the SMG Turret.

perkelectricfencepostDesc,progression,Perk,Unlocks the Electric Fence Post.
perkelectricfencepostSchematicRank1Desc,progression,Perk,Unlocks the Electric Fence Post.

perkmotionsensorDesc,progression,Perk,Unlocks the Motion Sensors.
perkmotionsensorSchematicRank1Desc,progression,Perk,Unlocks the Motion Sensors.

perkspeakerDesc,progression,Perk,Unlocks the Speakers.
perkspeakerSchematicRank1Desc,progression,Perk,Unlocks the Speakers.

perkspotlightPlayerDesc,progression,Perk,Unlocks the Spotlight.
perkspotlightPlayerSchematicRank1Desc,progression,Perk,Unlocks the Spotlight.

perkswitchDesc,progression,Perk,Unlocks the Switch.
perkswitchSchematicRank1Desc,progression,Perk,Unlocks the Switch.

perkbatterybankDesc,progression,Perk,Unlocks the Battery Bank.
perkbatterybankSchematicRank1Desc,progression,Perk,Unlocks the Battery Bank.

perkelectrictimerrelayDesc,progression,Perk,Unlocks the Electric Timer Relay.
perkelectrictimerrelaySchematicRank1Desc,progression,Perk,Unlocks the Electric Timer Relay.

perkmodGunBarrelExtenderDesc,progression,Perk,Unlocks the Gun Barrel Extender Mod.
perkmodGunBarrelExtenderSchematicRank1Desc,progression,Perk,Unlocks the Gun Barrel Extender Mod.

perkmodGunMuzzleBrakeDesc,progression,Perk,Unlocks the Muzzle Brake Mod.
perkmodGunMuzzleBrakeSchematicRank1Desc,progression,Perk,Unlocks the Muzzle Brake Mod.

perkmodGunSoundSuppressorSilencerDesc,progression,Perk,Unlocks the Gun Silencer Mod.
perkmodGunSoundSuppressorSilencerSchematic,progression,Perk,Unlocks the Gun Silencer Mod.

perkmodGunLaserSightDesc,progression,Perk,Unlocks the Laser Sight Mod.
perkmodGunLaserSightSchematicRank1Desc,progression,Perk,Unlocks the Laser Sight Mod.

perkmodGunFlashlightDesc,progression,Perk,Unlocks the Gun Light Mod.
perkmodGunFlashlightSchematicRank1Desc,progression,Perk,Unlocks the Gun Light Mod.

perkmodGunScopeSmallDesc,progression,Perk,Unlocks the 2x Scope Mod.
perkmodGunScopeSmallSchematicRank1Desc,progression,Perk,Unlocks the 2x Scope Mod.

perkmodGunScopeMediumDesc,progression,Perk,Unlocks the 4x Scope Mod.
perkmodGunScopeMediumSchematicRank1Desc,progression,Perk,Unlocks the 4x Scope Mod.

perkmodGunScopeLargeDesc,progression,Perk,Unlocks the 8x Scope Mod.
perkmodGunScopeLargeSchematicRank1Desc,progression,Perk,Unlocks the 8x Scope Mod.

perkmodGunReflexSightDesc,progression,Perk,Unlocks the Reflex Sight.
perkmodGunReflexSightSchematicRank1Desc,progression,Perk,Unlocks the Reflex Sight.

perkmodGunTriggerGroupSemiDesc,progression,Perk,Unlocks the Semi Trigger Group Mod.
perkmodGunTriggerGroupSemiSchematicRank1Desc,progression,Perk,Unlocks the Semi Trigger Group Mod.

perkmodGunTriggerGroupBurst3Desc,progression,Perk,Unlocks the Burst Trigger Group Mod.
perkmodGunTriggerGroupBurst3SchematicRank1Desc,progression,Perk,Unlocks the Burst Trigger Group Mod.

perkmodGunTriggerGroupAutomaticDesc,progression,Perk,Unlocks the Full Auto Trigger Group Mod.
perkmodGunTriggerGroupAutomaticSchematicRank1Desc,progression,Perk,Unlocks the Full Auto Trigger Group Mod.

perkmodGunBipodDesc,progression,Perk,Unlocks the Bipod Gun Mod.
perkmodGunBipodSchematicRank1Desc,progression,Perk,Unlocks the Bipod Gun Mod.

perkmodGunForegripDesc,progression,Perk,Unlocks the Foregrip Gun Mod.
perkmodGunForegripSchematicRank1Desc,progression,Perk,Unlocks the Foregrip Gun Mod.

perkmodGunRetractingStockDesc,progression,Perk,Unlocks the Retracting Stock Mod.
perkmodGunRetractingStockSchematicRank1Desc,progression,Perk,Unlocks the Retracting Stock Mod.

perkmodGunDuckbillDesc,progression,Perk,Unlocks the Duckbill Gun Mod.
perkmodGunDuckbillSchematicRank1Desc,progression,Perk,Unlocks the Duckbill Gun Mod.

perkmodGunChokeDesc,progression,Perk,Unlocks the Gun Choke Mod.
perkmodGunChokeSchematicRank1Desc,progression,Perk,Unlocks the Gun Choke Mod.

perkmodGunMagazineExtenderDesc,progression,Perk,Unlocks the Magazine Extender Mod.
perkmodGunMagazineExtenderSchematicRank1Desc,progression,Perk,Unlocks the Magazine Extender Mod.

perkmodShotgunSawedOffBarrelDesc,progression,Perk,Unlocks the Sawed Off Barrel Mod.
perkmodShotgunSawedOffBarrelSchematicRank1Desc,progression,Perk,Unlocks the Sawed Off Barrel Mod.

perkmodGunCrippleEmDesc,progression,Perk,Unlocks the Cripple 'Em Mod.
perkmodGunCrippleEmSchematicRank1Desc,progression,Perk,Unlocks the Cripple 'Em Mod.

perkmodGunBowPolymerStringDesc,progression,Perk,Unlocks the Polymer String Mod.
perkmodGunBowPolymerStringSchematicRank1Desc,progression,Perk,Unlocks the Polymer String Mod.

perkmodGunBowArrowRestDesc,progression,Perk,Unlocks the Arrow Rest Mod.
perkmodGunBowArrowRestSchematicRank1Desc,progression,Perk,Unlocks the Arrow Rest Mod.

perkmodGunMeleeTheHunterDesc,progression,Perk,Unlocks the Hunter Mod.
perkmodGunMeleeTheHunterSchematicRank1Desc,progression,Perk,Unlocks the Hunter Mod.

perkmodGunMeleeRadRemoverDesc,progression,Perk,Unlocks the Rad Remover Mod.
perkmodGunMeleeRadRemoverSchematicRank1Desc,progression,Perk,Unlocks the Rad Remover Mod.

perkmodMeleeTemperedBladeDesc,progression,Perk,Unlocks the Tempered Blade Mod.
perkmodMeleeTemperedBladeSchematicRank1Desc,progression,Perk,Unlocks the Tempered Blade Mod.

perkmodMeleeSerratedBladeDesc,progression,Perk,Unlocks the Serrated Blade.
perkmodMeleeWeightedHeadSchematicRank1Desc,progression,Perk,Unlocks the Serrated Blade.

perkmodMeleeStructuralBraceDesc,progression,Perk,Unlocks the Structural Brace.
perkmodMeleeStructuralBraceSchematicRank1Desc,progression,Perk,Unlocks the Structural Brace.

perkmodMeleeErgonomicGripDesc,progression,Perk,Unlocks the Ergonomic Grip.
perkmodMeleeErgonomicGripSchematicRank1Desc,progression,Perk,Unlocks the Ergonomic Grip.

perkmodMeleeFortifyingGripDesc,progression,Perk,Unlocks the Fortifying Grip Mod.
perkmodMeleeFortifyingGripSchematicRank1Desc,progression,Perk,Unlocks the Fortifying Grip Mod.

perkmodMeleeClubBarbedWireDesc,progression,Perk,Unlocks the Bared Wire Mod.
perkmodMeleeClubBarbedWireSchematicRank1Desc,progression,Perk,Unlocks the Bared Wire Mod.

perkmodMeleeClubMetalSpikesDesc,progression,Perk,Unlocks the Metal Spike Mod.
perkmodMeleeClubMetalSpikesSchematicRank1Desc,progression,Perk,Unlocks the Metal Spike Mod.

perkmodMeleeClubMetalChainDesc,progression,Perk,Unlocks the Metal Cain Mod.
perkmodMeleeClubMetalChainSchematicRank1Desc,progression,Perk,Unlocks the Metal Cain Mod.

perkmodMeleeGraveDiggerDesc,progression,Perk,Unlocks the Grave Digger Mod.
perkmodMeleeGraveDiggerSchematicRank1Desc,progression,Perk,Unlocks the Grave Digger Mod.

perkmodMeleeBunkerBusterDesc,progression,Perk,Unlocks the Bunker Buster Mod.
perkmodMeleeBunkerBusterSchematicRank1Desc,progression,Perk,Unlocks the Bunker Buster Mod.

perkmodMeleeIronBreakerDesc,progression,Perk,Unlocks the Iron Breaker Mod.
perkmodMeleeIronBreakerSchematicRank1Desc,progression,Perk,Unlocks the Iron Breaker Mod.

perkmodMeleeWoodSplitterDesc,progression,Perk,Unlocks the Wood Splitter Mod.
perkmodMeleeWoodSplitterSchematicRank1Desc,progression,Perk,Unlocks the Wood Splitter Mod.

perkmodMeleeClubBurningShaftDesc,progression,Perk,Unlocks the Burning Shaft Mod.
perkmodMeleeClubBurningShaftSchematicRank1Desc,progression,Perk,Unlocks the Burning Shaft Mod.

perkmodArmorInsulatedLinerDesc,progression,Perk,Unlocks the Insulated Liner.
perkmodArmorInsulatedLinerSchematicRank1Desc,progression,Perk,Unlocks the Insulated Liner.

perkmodArmorCoolingMeshDesc,progression,Perk,Unlocks the Cooling Mesh Mod.
perkmodArmorCoolingMeshSchematicRank1Desc,progression,Perk,Unlocks the Cooling Mesh Mod.

perkmodArmorImprovedFittingsDesc,progression,Perk,Unlocks the Improved Fittings Mod.
perkmodArmorImprovedFittingsSchematicRank1Desc,progression,Perk,Unlocks the Improved Fittings Mod.

perkmodArmorCustomizedFittingsDesc,progression,Perk,Unlocks the Customized Fittings.
perkmodArmorCustomizedFittingsSchematicRank1Desc,progression,Perk,Unlocks the Customized Fittings.

perkmodArmorPlatingBasicDesc,progression,Perk,Unlocks the Basic Plating Mod.
perkmodArmorPlatingBasicSchematicRank1Desc,progression,Perk,Unlocks the Basic Plating Mod.

perkmodArmorPlatingReinforcedDesc,progression,Perk,Unlocks the Reinforced Plating Mod.
perkmodArmorPlatingReinforcedSchematicRank1Desc,progression,Perk,Unlocks the Reinforced Plating Mod.

perkmodArmorStoragePocketDesc,progression,Perk,Unlocks the Armor Pocket Mod.
perkmodArmorStoragePocketSchematicRank1Desc,progression,Perk,Unlocks the Armor Pocket Mod.

perkmodArmorDoubleStoragePocketDesc,progression,Perk,Unlocks the Armor Double Pocket Mod.
perkmodArmorDoubleStoragePocketSchematicRank1Desc,progression,Perk,Unlocks the Armor Double Pocket Mod.

perkmodArmorTripleStoragePocketDesc,progression,Perk,Unlocks the Armor Triple Pocket Mod.
perkmodArmorTripleStoragePocketSchematic,progression,Perk,Unlocks the Armor Triple Pocket Mo
perkmodArmorMuffledConnectorsDesc,progression,Perk,Unlocks the Muffled Connectors Mod.
perkmodArmorMuffledConnectorsSchematicRank1Desc,progression,Perk,Unlocks the Muffled Connectors Mod.

perkmodArmorAdvancedMuffledConnectors,progression,Perk,Unlocks the Advanced Muffled Connectors Mod.
perkmodArmorAdvancedMuffledConnectorsSchematicRank1Desc,progression,Perk,Unlocks the Advanced Muffled Connectors Mod.

perkmodArmorImpactBracingDesc,progression,Perk,Unlocks the Impact Bracing Mod.
perkmodArmorImpactBracingSchematicRank1Desc,progression,Perk,Unlocks the Impact Bracing Mod.

perkmodArmorBandolierDesc,progression,Perk,Unlocks the Bandolier Mod.
perkmodArmorBandolierSchematicRank1Desc,progression,Perk,Unlocks the Bandolier Mod.

perkmodArmorWaterPurifierDesc,progression,Perk,Unlocks the Water Purifier Mod.
perkmodArmorWaterPurifierSchematicRank1Desc,progression,Perk,Unlocks the Water Purifier Mod.

perkmodArmorHelmetLightDesc,progression,Perk,Unlocks the Helmet Light Mod.
perkmodArmorHelmetLightSchematicRank1Desc,progression,Perk,Unlocks the Helmet Light Mod.

perkmodFuelTankSmallDesc,progression,Perk,Unlocks the Small Fuel Tank Mod.
perkmodFuelTankSmallSchematicRank1Desc,progression,Perk,Unlocks the Small Fuel Tank Mod.

perkmodFuelTankLargeSchematic,progression,Perk,Unlocks the Large Fuel Tank Mod.
perkmodFuelTankLargeSchematicRank1Desc,progression,Perk,Unlocks the Large Fuel Tank Mod.

perkammoGasCanDesc,progression,Perk,Unlocks Gas Production.
perkammoGasCanSchematicRank1Desc,progression,Perk,Unlocks Gas Production.

perkresourceOilDesc,progression,Perk,Unlocks Oil Production.
perkresourceOilSchematicRank1Desc,progression,Perk,Unlocks Oil Production.

perkdrinkJarBeerDesc,progression,Perk,Unlocks Beer.
perkdrinkJarBeerSchematicRank1Desc,progression,Perk,Unlocks Beer.

perkdrinkJarGoldenRodTeaDesc,progression,Perk,Unlocks Goldenrod Tea.
perkdrinkJarGoldenRodTeaSchematicRank1Desc,progression,Perk,Unlocks Goldenrod Tea.

perkdrinkJarRedTeaDesc,progression,Perk,Unlocks Red Tea.
perkdrinkJarRedTeaSchematicRank1Desc,progression,Perk,Unlocks Red Tea.

drinkYuccaJuiceSmoothieDesc,progression,Perk,Unlocks Yucca Juice Smoothie.
perkdrinkYuccaJuiceSmoothieSchematicRank1Desc,progression,Perk,Unlocks the Yucca Juice Smoothie.

perkdrinkJarGrandpasAwesomeSauceDesc,progression,Perk,Unlocks Grandpa's Awesome Sauce.
perkdrinkJarGrandpasAwesomeSauceSchematicRank1Desc,progression,Perk,Unlocks Grandpa's Awesome Sauce. 

drinkJarGrandpasLearningElixir,items,Drink,Grandpa's Learnin' Elixir
perkdrinkJarGrandpasLearningElixirDesc,progression,Perk,Unlocks Grandpa's Learning Elixer.
perkdrinkJarGrandpasLearningElixirSchematicRank1Desc,progression,Perk,Unlocks Grandpa's Learning Elixer.

perkdrinkJarGrandpasMoonshineDesc,progression,Perk,Unlocks Grandpa's Moonshine.
perkdrinkJarGrandpasMoonshineSchematicRank1Desc,progression,Perk,Unlocks Grandpa's Moonshine.

perkfoodBaconAndEggsDesc,progression,Perk,Unlocks Bacon and Eggs.
perkfoodBaconAndEggsSchematicRank1Desc,progression,Perk,Unlocks Bacon and Eggs.

perkfoodBakedPotatoDesc,progression,Perk,Unlocks Baked Potatos.
perkfoodBakedPotatoSchematicRank1Desc,progression,Perk,Unlocks Baked Potatos.

perkfoodBlueberryPieDesc,progression,Perk,Unlocks BlueBerry Pie.
perkfoodBlueberryPieSchematicRank1Desc,progression,Perk,Unlocks BlueBerry Pie.

perkfoodPumpkinPieDesc,progression,Perk,Unlocks Pumpkin Pie.
perkfoodPumpkinPieSchematicRank1Desc,progression,Perk,Unlocks Pumpkin Pie.

perkfoodPumpkinCheesecake,progression,Perk,Unlocks Pumpkin Cheesecake.
perkfoodPumpkinCheesecakeSchematicRank1Desc,progression,Perk,Unlocks Pumpkin Cheesecake.

perkfoodPumpkinBreadDesc,progression,Perk,Unlocks Pumpkin Bread.
perkfoodPumpkinBreadSchematicRank1Desc,progression,Perk,Unlocks Pumpkin Bread.

perkfoodBoiledMeatDesc,progression,Perk,Unlocks Boiled Meat.
perkfoodBoiledMeatSchematicRank1Desc,progression,Perk,Unlocks Boiled Meat.

perkfoodChiliDogDesc,progression,Perk,Unlocks the Chilidog.
perkfoodChiliDogSchematicRank1Desc,progression,Perk,Unlocks the Chilidog.

perkfoodCornBreadDesc,progression,Perk,Unlocks Cornbread.
perkfoodCornBreadSchematicRank1Desc,progression,Perk,Unlocks Cornbread.

perkfoodCornOnTheCobDesc,progression,Perk,Unlocks Corn On The Cob.
perkfoodCornOnTheCobSchematicRank1Desc,progression,Perk,Unlocks Corn On The Cob.

perkfoodFishTacosDesc,progression,Perk,Unlocks Fish Tacos.
perkfoodFishTacosSchematicRank1Desc,progression,Perk,Unlocks Fish Tacos.

perkfoodCanShamDesc,progression,Perk,Unlocks the Can of Sham.
perkfoodCanShamSchematicRank1Desc,progression,Perk,Unlocks the Can of Sham.

perkfoodHoboStewDesc,progression,Perk,Unlocks Hobo Stew.
perkfoodHoboStewSchematicRank1Desc,progression,Perk,Unlocks Hobo Stew.

perkfoodMeatStewDesc,progression,Perk,Unlocks Meat Stew. 
perkfoodMeatStewSchematicRank1Desc,progression,Perk,Unlocks Meat Stew.

perkfoodShamChowderDesc,progression,Perk,Unlocks Sham Chowder.
perkfoodShamChowderSchematicRank1Desc,progression,Perk,Unlocks Sham Chowder.

perkfoodSteakAndPotatoDesc,progression,Perk,Unlocks Steak and Potatos.
