Key,UsedInMainMenu,Source,Context,Changes,English, French,German,Klingon,Spanish,Polish
foodTaterTots,,item,Food,newKey,Tater Tots   [-],,,,,
foodTaterTotsDesc,,item,Food,newKey,A tasty but very small dish of Tater Tots. Won't fill you up much but it helps!,,,,,
foodChickenFriedSteak,,item,Food,newKey,Chicken Fried Steak Meal   [-],,,,,
foodChickenFriedSteakDesc,,item,Food,newKey,A tasty meal that will fill you up a fair amount.,,,,,
foodBroccoli,,item,Food,newKey,Broccoli   [-],,,,,
foodBroccoliDesc,,item,Food,newKey,A tasty vegetable that can either be eaten by it's self or used in a wide variety of dishes.,,,,,
foodMashedPotatos,,item,Food,newKey,Mashed Potatos   [-],,,,,
foodMashedPotatosDesc,,item,Food,newKey,A tasty dish that can either be eaten by it's self or used in a wide variety of other dishes.,,,,,
foodBhamSandwichMeal,,item,Food,newKey,Bham Sandwich and Chips   [-],,,,,
foodBhamSandwichMealDesc,,item,Food,newKey,A tasty dish that can either be eaten by it's self or used in a wide variety of other dishes. Also gives you a small stamina boost after you eat it.,,,,,
foodBhamSandwich,,item,Food,newKey,Bham Sandwich   [-],,,,,
foodBhamSandwichDesc,,item,Food,newKey,A tasty food that can either be eaten by it's self or used in a wide variety of dishes. Also gives you a small stamina boost after you eat it.,,,,,
foodPotatoChips,,item,Food,newKey,Potato Chips   [-],,,,,
foodPotatoChipsDesc,,item,Food,newKey,A tasty snack that can either be eaten by it's self or used in a wide variety of dishes.,,,,,
foodMooseTard,,item,Food,newKey,Moosetard   [-],,,,,
foodMooseTardDesc,,item,Food,newKey,It's like Mustard - but it's the next best thing! You can eat it but it won't help you out much or you can use it in a wide variety of dishes.,,,,,
foodOmelette,,item,Food,newKey,Omelette   [-],,,,,
foodOmeletteDesc,,item,Food,newKey,Tasty. Usually eaten for breakfast.,,,,,
foodSesameChicken,,item,Food,newKey,Sesame Chicken   [-],,,,,
foodSesameChickenDesc,,item,Food,newKey,A tasty chinese dish..,,,,,
foodMongolianBeef,,item,Food,newKey,Mongolian Beef   [-],,,,,
foodMongolianBeefDesc,,item,Food,newKey,A tasty chinese dish........ BEWARE IT'S SPICY!,,,,,
foodSpringRoll,,item,Food,newKey,Spring Roll   [-],,,,,
foodSpringRollDesc,,item,Food,newKey,A tasty chinese food. It can either be eaten by it's self or used in a wide variety of dishes. ,,,,,
foodCheeseWonton,,item,Food,newKey,Cheese Wonton   [-],,,,,
foodCheeseWontonDesc,,item,Food,newKey,A tasty chinese food. It can either be eaten by it's self or used in a wide variety of dishes.,,,,,
foodWontonSoup,,item,Food,newKey,Wonton Soup   [-],,,,,
foodWontonSoupDesc,,item,Food,newKey,A tasty chinese soup. It can either be eaten by it's self or used in a wide variety of dishes.,,,,,
foodHotSourSoup,,item,Food,newKey,Hot-Sour Soup   [-],,,,,
foodHotSourSoupDesc,,item,Food,newKey,A tasty chinese soup...... SPICY STUFF! It can either be eaten by it's self or used in a wide variety of dishes.,,,,,
foodFrenchFries,,item,Food,newKey,French Fries   [-],,,,,
foodFrenchFriesDesc,,item,Food,newKey,A tasty food. It can either be eaten by it's self or used in a wide variety of dishes.,,,,,
foodHamburgerAndFries,,item,Food,newKey,Hamburger and Fries Meal   [-],,,,,
foodHamburgerAndFriesDesc,,item,Food,newKey,It's either stolen from Kurger Bing. Or a local Diner. Or you actually just made it yourself.,,,,,
foodHushPuppies,,item,Food,newKey,Hush Puppies   [-],,,,,
foodHushPuppiesDesc,,item,Food,newKey,Tasty food. Can either be eaten by it's self or used in a wide variety of dishes.,,,,,
foodChickenBones,,item,Food,newKey,Chicken Bones   [-],,,,,
foodChickenBonesDesc,,item,Food,newKey,Eat them clean and you might get something useful.,,,,,
foodMilk,,item,Food,newKey,Milk   [-],,,,,
foodMilkDesc,,item,Food,newKey,You can drink it or use it in a wide variety of dishes.,,,,,
foodEmptyMilkJug,,item,Food,newKey,Empty Milk Jug   [-],,,,,
foodEmptyMilkJugDesc,,item,Food,newKey,It's plastic.,,,,,
foodGlassOfMilk,,item,Food,newKey,Glass of Milk   [-],,,,,
foodGlassOfMilkDesc,,item,Food,newKey,You can drink it.,,,,,
foodMongolianInferno,,item,Food,newKey,Heartburn 5000   [-],,,,,
foodMongolianInfernoDesc,,item,Food,newKey,It went down down down in to the burning ring of fire and it burns burns burns... in the ring of fire-the ring of fire.\nIt's a testing item only obtainable through the Creative Menu.\nUsed to test the [ff0000]Heartburn[-] buff.,,,,,
foodMongolianInferno2,,item,Food,newKey,Heartburn 150 000   [-],,,,,
foodMongolianInferno2Desc,,item,Food,newKey,YEEEEEEEAAAAAAAAAW\nIt's a testing item only obtainable through the Creative Menu.\nUsed to test the [ff0000]Heartburn[-] buff.,,,,,
foodWatermelon,,item,Food,newKey,Watermelon   [-],,,,,
foodWatermelonDesc,,item,Food,newKey,Picked up from the ground or found somewhere. One big Watermelon all to yourself.,,,,,
foodThumbs,,item,Food,newKey,Thumbs Antacid   [-],,,,,
foodThumbsDesc,,item,Food,newKey,Usually eaten to help ease Heartburn.,,,,,
foodCarrot,,item,Food,newKey,Carrot   [-],,,,,
foodCarrotDesc,,item,Food,newKey,Tasty. Can either be eaten by it's self or used in a wide variety of dishes.,,,,,
foodCaseOfCola,,item,Food,newKey,Case of Cola   [-],,,,,
foodCaseOfColaDesc,,item,Food,newKey,This is a 12 pack of Cans of Cola. ,,,,,
foodCanOfCola,,item,Food,newKey,Can of Cola   [-],,,,,
foodCanOfColaDesc,,item,Food,newKey,You can drink it.\nIt also fizzes.,,,,,
foodCheese,,item,Food,newKey,Cheese   [-],,,,,
foodCheeseDesc,,item,Food,newKey,It's cheese.\nWhat more do you need to know?,,,,,
foodButter,,item,Food,newKey,Butter   [-],,,,,
foodCheeseDesc,,item,Food,newKey,It's butter.\nWhat more do you need to know?,,,,,
foodPopcorn,,item,Food,newKey,Popcorn   [-],,,,,
foodPopcornDesc,,item,Food,newKey,Tasty.,,,,,
foodPopcornKernels,,item,Food,newKey,Popcorn Kernels   [-],,,,,
foodPopcornKernelsDesc,,item,Food,newKey,Used to make Popcorn.,,,,,
foodRawBacon,,item,Food,newKey,Raw Bacon   [-],,,,,
foodRawBaconDesc,,item,Food,newKey,It's bacon.,,,,,
foodRawRibs,,item,Food,newKey,Raw Ribs   [-],,,,,
foodRawRibsDesc,,item,Food,newKey,It's ribs.,,,,,
foodCookedRibs,,item,Food,newKey,Cooked Ribs   [-],,,,,
foodCookedRibsDesc,,item,Food,newKey,Tasty.,,,,,
foodStrawberry,,item,Food,newKey,Strawberry   [-],,,,,
foodStrawberryDesc,,item,Food,newKey,Tasty. Found on the ground.,,,,,
foodHeavyWhippingCream,,item,Food,newKey,Heavy Whipping Cream   [-],,,,,
foodHeavyWhippingCreamDesc,,item,Food,newKey,Tasty. Used in a wide variety of dishes.,,,,,
foodPowderedSugar,,item,Food,newKey,Powdered Sugar   [-],,,,,
foodPowderedSugarDesc,,item,Food,newKey,Tasty. Used in a wide variety of dishes.,,,,,
foodApple,,item,Food,newKey,Apple   [-],,,,,
foodAppleDesc,,item,Food,newKey,Tasty. Can be used in a wide variety of dishes. Keeps the Zomdoctor away.,,,,,
foodCatchUp,,item,Food,newKey,Cat-chup   [-],,,,,
foodCatchUpDesc,,item,Food,newKey,Can be used in a wide variety of dishes - do not mix this and [ff0000]Moosetard[-]!,,,,,
foodDough,,item,Food,newKey,Dough   [-],,,,,
foodDoughDesc,,item,Food,newKey,Can be used in a wide variety of dishes.,,,,,
foodBread,,item,Food,newKey,Loaf of Bread   [-],,,,,
foodBreadDesc,,item,Food,newKey,Eat it like it is or you can use it in a wide variety of dishes.,,,,,
foodSliceOfBread,,item,Food,newKey,Slice of Bread   [-],,,,,
foodSliceOfBreadDesc,,item,Food,newKey,Eat it like it is or you can use it in a wide variety of dishes.,,,,,
foodKillbasa,,item,Food,newKey,Killbasa   [-],,,,,
foodKillbasaDesc,,item,Food,newKey,Eat it like it is or you can use it in a wide variety of dishes.,,,,,
foodTheFlash,,item,Food,newKey,Ventaflashin   [-],,,,,
foodTheFlashDesc,,item,Food,newKey,Ventaflashin. Take as needed. GOTTA GO ... FAAAAAAAAAAAAAAAAAAAAAAAST!,,,,,
foodRawChicken,,item,Food,newKey,Raw Chicken   [-],,,,,
foodRawChickenDesc,,item,Food,newKey,It's chicken. Its whats for dinner.,,,,,
foodRawChickenPieces,,item,Food,newKey,Raw Chicken Pieces   [-],,,,,
foodRawChickenPiecesDesc,,item,Food,newKey,It's chicken. Its whats for dinner.,,,,,

buffSpicyDesc,buffs,Buff,,,You ate some spicy food! Good thing is this little bit shouldn't give you heartburn.,,,,,
buffSpicyName,buffs,Buff,,,Ate Spicy Food,,,,,
buffSpicyTooltip,buffs,Buff,,,Your stomach feels... warm. ,,,,,
buffHeartburnDesc,buffs,Buff,,,Probably ate some spicy food.,,,,,
buffHeartburnName,buffs,Buff,,,Heartburn,,,,,
buffHeartburnTooltip,buffs,Buff,,,You have Heartburn. ,,,,,
buffAppleDesc,buffs,Buff,,,Apple a day keeps the doctor away!.... well maybe not. They're all zombies.,,,,,
buffAppleName,buffs,Buff,,,Ate an Apple,,,,,
buffAppleTooltip,buffs,Buff,,,Apple a day keeps the doctor away!.... well maybe not. They're all zombies. ,,,,,
buffTheFlashDesc,buffs,Buff,,,Gotta go FAAAAAAAAAAAAAAAAAAAAAAAAAAST!,,,,,
buffTheFlashName,buffs,Buff,,,GOTTA GO... FAAAAAAAAAAAAAAAAST!,,,,,
buffTheFlashTooltip,buffs,Buff,,,Gotta go FAAAAAAAAAAAAAAAAAAAAAAST! ,,,,,
